episode,stage,stage_name,rows,cols,wall_density,num_puzzles,level_seed,total_reward,steps,success,rolling_success,epsilon,loss
158,1,stage_1_small_easy,6,6,0.1082,1,789,-418,144,0,0.0,0.8537822855004553,0.15527666771473983
159,1,stage_1_small_easy,6,6,0.0983,1,594,-475,144,0,0.0,0.8529285032149548,0.14052962306110808
160,1,stage_1_small_easy,6,6,0.0902,1,220,-420,144,0,0.0,0.8520755747117399,0.12470401434176084
161,1,stage_1_small_easy,6,6,0.0817,1,166,-476,144,0,0.0,0.8512234991370281,0.1861175305934416
162,1,stage_1_small_easy,6,6,0.0916,1,143,-509,144,0,0.0,0.8503722756378911,0.11828810312888688
163,1,stage_1_small_easy,6,6,0.1072,1,571,-536,144,0,0.0,0.8495219033622532,0.10579688319315513
164,1,stage_1_small_easy,6,6,0.0877,1,620,-480,144,0,0.0,0.8486723814588909,0.17067300631768173
165,1,stage_1_small_easy,6,6,0.0929,1,914,-498,144,0,0.0,0.847823709077432,0.1690488490405389
166,1,stage_1_small_easy,6,6,0.0812,1,194,-477,144,0,0.0,0.8469758853683546,0.15279978071339428
167,1,stage_1_small_easy,6,6,0.0884,1,192,-412,144,0,0.0,0.8461289094829862,0.11789400368514988
168,1,stage_1_small_easy,6,6,0.1069,1,319,-439,144,0,0.0,0.8452827805735033,0.12377314131137812
169,1,stage_1_small_easy,6,6,0.0993,1,45,-426,144,0,0.0,0.8444374977929298,0.0954649016364581
170,1,stage_1_small_easy,6,6,0.0804,1,741,-416,144,0,0.0,0.8435930602951368,0.12984052264235085
171,1,stage_1_small_easy,6,6,0.1167,1,505,-541,144,0,0.0,0.8427494672348417,0.15722146337955362
172,1,stage_1_small_easy,6,6,0.0847,1,246,-464,144,0,0.0,0.8419067177676068,0.1925304690375924
173,1,stage_1_small_easy,6,6,0.0966,1,451,-479,144,0,0.0,0.8410648110498392,0.09991676500067115
174,1,stage_1_small_easy,6,6,0.1024,1,40,-538,144,0,0.0,0.8402237462387894,0.11784592720990379
175,1,stage_1_small_easy,6,6,0.0996,1,860,-489,144,0,0.0,0.8393835224925505,0.12918643060968155
176,1,stage_1_small_easy,6,6,0.0928,1,109,-424,144,0,0.0,0.838544138970058,0.13584963093873942
177,1,stage_1_small_easy,6,6,0.1084,1,526,-472,144,0,0.0,0.8377055948310879,0.11273018916189256
178,1,stage_1_small_easy,6,6,0.0909,1,121,-539,144,0,0.0,0.8368678892362568,0.1179773237478609
179,1,stage_1_small_easy,6,6,0.1093,1,223,-554,144,0,0.0,0.8360310213470206,0.107002466929973
180,1,stage_1_small_easy,6,6,0.1097,1,879,-459,144,0,0.0,0.8351949903256736,0.09011776130905168
181,1,stage_1_small_easy,6,6,0.0954,1,121,-454,144,0,0.0,0.8343597953353479,0.1559481719094846
182,1,stage_1_small_easy,6,6,0.107,1,226,-409,144,0,0.0,0.8335254355400126,0.13266084338020948
183,1,stage_1_small_easy,6,6,0.1007,1,239,-449,144,0,0.0,0.8326919101044725,0.12689008856088752
184,1,stage_1_small_easy,6,6,0.0915,1,140,-506,144,0,0.0,0.831859218194368,0.1109298926183126
185,1,stage_1_small_easy,6,6,0.0947,1,831,-508,144,0,0.0,0.8310273589761736,0.11423930930646344
186,1,stage_1_small_easy,6,6,0.0862,1,522,-499,144,0,0.0,0.8301963316171974,0.13182247759929547
187,1,stage_1_small_easy,6,6,0.1106,1,583,-494,144,0,0.0,0.8293661352855802,0.0907894623103655
