episode,level_id,level_name,total_reward,steps,success,epsilon,loss,collected_key,solved_puzzles,opened_door,moving_avg_reward,moving_success_rate
215,1,Alternative Maze Room,86,78,1,0.5241541600479452,0,1,3,1,-193.32,0.44
216,2,Advanced Puzzle Room,-154,147,1,0.5225816975678014,0,1,3,1,-190.13,0.45
217,2,Advanced Puzzle Room,21,105,1,0.521013952475098,0,1,3,1,-185.82,0.46
218,1,Alternative Maze Room,54,88,1,0.5194509106176727,0,1,3,1,-181.07,0.47
219,2,Advanced Puzzle Room,62,70,1,0.5178925578858197,0,1,3,1,-176.31,0.48
220,2,Advanced Puzzle Room,29,67,1,0.5163388802121622,0,1,3,1,-171.89,0.49
221,1,Alternative Maze Room,123,58,1,0.5147898635715258,0,1,3,1,-166.79,0.5
222,2,Advanced Puzzle Room,-380,150,0,0.5132454939808112,0,1,3,0,-165.66,0.5
223,2,Advanced Puzzle Room,137,60,1,0.5117057574988688,0,1,3,1,-160.13,0.51
224,0,Classic Escape Room,195,38,1,0.5101706402263723,0,1,3,1,-154.75,0.52
225,0,Classic Escape Room,113,63,1,0.5086401283056932,0,1,3,1,-148.56,0.53
226,1,Alternative Maze Room,26,101,1,0.5071142079207761,0,1,3,1,-147.32,0.53
227,2,Advanced Puzzle Room,8,73,1,0.5055928652970137,0,1,3,1,-143.44,0.54
228,1,Alternative Maze Room,210,37,1,0.5040760867011227,0,1,3,1,-136.57,0.55
229,0,Classic Escape Room,199,42,1,0.5025638584410194,0,1,3,1,-130.52,0.56
230,1,Alternative Maze Room,177,44,1,0.5010561668656963,0,1,3,1,-125.01,0.57
231,1,Alternative Maze Room,-386,150,0,0.49955299836509925,0,1,3,1,-124.72,0.57
232,0,Classic Escape Room,183,40,1,0.49805433937000393,0,1,3,1,-118.08,0.58
233,2,Advanced Puzzle Room,97,64,1,0.4965601763518939,0,1,3,1,-113.25,0.59
234,0,Classic Escape Room,159,42,1,0.49507049582283824,0,1,3,1,-107.04,0.6
235,1,Alternative Maze Room,102,70,1,0.49358528433536975,0,1,3,1,-102.13,0.61
236,2,Advanced Puzzle Room,111,75,1,0.49210452848236363,0,1,3,1,-97.53,0.62
237,2,Advanced Puzzle Room,-258,150,0,0.49062821489691655,0,1,3,1,-96.52,0.62
238,2,Advanced Puzzle Room,-267,150,0,0.4891563302522258,0,1,3,1,-95.38,0.62
239,1,Alternative Maze Room,153,58,1,0.48768886126146915,0,1,3,1,-89.97,0.63
240,1,Alternative Maze Room,160,59,1,0.48622579467768473,0,1,3,1,-84.14,0.64
241,0,Classic Escape Room,229,32,1,0.4847671172936517,0,1,3,1,-76.5,0.65
242,1,Alternative Maze Room,157,49,1,0.4833128159417707,0,1,3,1,-72.38,0.66
243,2,Advanced Puzzle Room,105,81,1,0.4818628774939454,0,1,3,1,-67.32,0.67
244,0,Classic Escape Room,159,47,1,0.48041728886146357,0,1,3,1,-61.78,0.68
245,0,Classic Escape Room,195,36,1,0.4789760369948792,0,1,3,1,-57.81,0.68
246,1,Alternative Maze Room,117,74,1,0.47753910888389456,0,1,3,1,-53.12,0.69
